Ticker,ISIN,CUSIP,Name,Global Broad Category Group,Global Category,Morningstar Category,Domicile,Exchange,Exchange Country,SecId,Investment Type,Figi
SID,CA31866M1178,31866M117,First Asset US Trendleaders ETF,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000Z6N6,Exchange-Traded Fund,BBG00H2MVSB3
BLCK,CA33740T1021,33740T102,First Trust IndxxInnvtvTrsctnandPrcssETF,Equity,Technology Sector Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F000010A8B,Exchange-Traded Fund,BBG00KFMP3D2
FLCI,CA3537681049,353768104,Franklin Liberty Cdn Invm Grd Corp ETF,Fixed Income,Canada Fixed Income,Canada Fund Canadian Corporate Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F00000Z11I,Exchange-Traded Fund,BBG00GTR0RF7
FLBA,CA35376K1075,35376K107,Franklin Liberty Core Balanced ETF,Allocation,Moderate Allocation,Canada Fund Canadian Neutral Balanced,Canada,TORONTO STOCK EXCHANGE,Canada,F0000101DT,Exchange-Traded Fund,BBG00JWTQ475
FLGA,CA35377B1067,35377B106,Franklin Liberty Global Aggt Bd ETF CADH,Fixed Income,Global Fixed Income,Canada Fund Global Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F000010HPB,Exchange-Traded Fund,BBG00KWY5V29
FLRM,CA3537691022,353769102,Franklin Liberty Risk Managed Cdn Eq ETF,Equity,Canadian Equity Large Cap,Canada Fund Canadian Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000Z11J,Exchange-Traded Fund,BBG00GTR1NC8
FLSL,CA35376R1029,35376R102,Franklin Liberty Senior Loan ETF CADH,Fixed Income,Canada Fixed Income,Canada Fund Floating Rate Loans,Canada,TORONTO STOCK EXCHANGE,Canada,F000010HP9,Exchange-Traded Fund,BBG00KWY5XT6
FLUI,CA3537701003,353770100,Franklin Liberty US InvmGrdCorp ETF CADH,Fixed Income,Global Fixed Income,Canada Fund Global Corporate Fixed Income,Canada,TORONTO STOCK EXCHANGE,Canada,F000010HPA,Exchange-Traded Fund,BBG00KWY60T7
FLEM,CA35376C1059,35376C105,Franklin LibertyQT Emer Mkt Idx ETF,Equity,Emerging Markets Equity,Canada Fund Emerging Markets Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F0000101DR,Exchange-Traded Fund,BBG00JWTR4T0
FLGD,CA35376A1093,35376A109,Franklin LibertyQT Global Dvd Idx ETF,Equity,Global Equity Large Cap,Canada Fund Global Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F0000101DS,Exchange-Traded Fund,BBG00JWV7293
FLDM,CA3537711085,353771108,Franklin LibertyQT Intl Eq ETF,Equity,Global Equity Large Cap,Canada Fund International Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000Z11K,Exchange-Traded Fund,BBG00GVM6YP3
FLUS,CA35376P1062,35376P106,Franklin LibertyQT US Equity ETF,Equity,US Equity Large Cap Blend,Canada Fund US Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000Z11L,Exchange-Traded Fund,BBG00GV13MQ7
FDE,CA33737G1054,33737G105,FT AlphaDEX EM Div ETF CAD H Comm,Equity,Emerging Markets Equity,Canada Fund Emerging Markets Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000PXT4,Exchange-Traded Fund,BBG004K6B5N6
FDE.A,CA33737G2045,33737G204,FT AlphaDEX EM Div ETF CAD Hdg Adv,Equity,Emerging Markets Equity,Canada Fund Emerging Markets Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000PXT8,Exchange-Traded Fund,BBG004K6B4B2
EUR.A,CA33732H1082,33732H108,FT AlphaDEX European Div ETF Adv,Equity,Europe Equity Large Cap,Canada Fund European Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SJ4Y,Exchange-Traded Fund,BBG005YQGYQ3
EUR,CA33732H2072,33732H207,FT AlphaDEX European Div ETF Comm,Equity,Europe Equity Large Cap,Canada Fund European Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000SJ4X,Exchange-Traded Fund,BBG005YQGX30
FHD,CA33739V1004,33739V100,FT AlphaDEX US Consumer Discret Sec ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX3,Exchange-Traded Fund,BBG007FJS6T1
FHC,CA33739W1086,33739W108,FT AlphaDEX US Consumer Stp Sect ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX4,Exchange-Traded Fund,BBG007FJS9D2
FHC.F,CA33739W2076,33739W207,FT AlphaDEX US Consumer Stp Sect ETF H,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZV1G,Exchange-Traded Fund,BBG00JFF8JN3
FHE,CA33732G1000,33732G100,FT AlphaDEX US Energy Sector ETF,Equity,Energy Sector Equity,Canada Fund Energy Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX5,Exchange-Traded Fund,BBG007FJWC04
FHF,CA33732J1049,33732J104,FT AlphaDEX US Financial Sector ETF,Equity,Financials Sector Equity,Canada Fund Financial Services Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX6,Exchange-Traded Fund,BBG007FJTG63
FHH,CA33718X1015,33718X101,FT AlphaDEX US Health Care Sector ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX7,Exchange-Traded Fund,BBG007FJYZR2
FHH.F,CA33718X2005,33718X200,FT AlphaDEX US Health Care Sector ETF H,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000ZV1H,Exchange-Traded Fund,BBG00JFF8NB7
FHG,CA33732Q1081,33732Q108,FT AlphaDEX US Industrials Sector ETF,Equity,Other Equity,Canada Fund Sector Equity,Canada,TORONTO STOCK EXCHANGE,Canada,F00000UNX8,Exchange-Traded Fund,BBG007FJTLY1
